series_animedb_id,series_title,series_type,series_episodes,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_times_watched,my_priority,my_tags
31636,Dagashi Kashi,TV,12,12,7/8/2021,7/9/2021,4,Completed,0,LOW,"2021, binge"
35849,Darling in the FranXX,TV,24,1,0000-00-00,0000-00-00,0,On-Hold,0,LOW,covid2020
1535,Death Note,TV,37,37,0000-00-00,0000-00-00,8,Completed,1,LOW,rewatch
49505,Deji Meets Girl,TV,12,3,10/6/2021,0000-00-00,4,Dropped,0,LOW,"seasonal, 2021, preliminary"
33988,Demi-chan wa Kataritai,TV,12,12,0000-00-00,0000-00-00,6,Completed,0,LOW,
37982,Domestic na Kanojo,TV,12,12,0000-00-00,0000-00-00,3,Completed,0,LOW,covid2020
38668,Dorohedoro,TV,12,12,0000-00-00,0000-00-00,6,Completed,0,LOW,"c/cast, r/animeawards2020-2021, 2021, binge"
37520,Dororo,TV,24,24,0000-00-00,0000-00-00,8,Completed,0,LOW,covid2020
38691,Dr. Stone,TV,24,24,0000-00-00,0000-00-00,9,Completed,0,LOW,"covid2020, binge"
50612,Dr. Stone: Ryuusui,Special,1,1,7/15/2022,7/15/2022,0,Completed,0,LOW,
40852,Dr. Stone: Stone Wars,TV,11,11,0000-00-00,3/25/2021,8,Completed,0,HIGH,"hype, preliminary, 2021"
43555,Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Special,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,
39026,Dumbbell Nan Kilo Moteru?,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,13,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12,12,0000-00-00,0000-00-00,5,Completed,0,LOW,covid2020
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,OVA,1,1,0000-00-00,0000-00-00,0,Completed,0,LOW,2021
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,12,0000-00-00,12/18/2020,4,Completed,0,LOW,"covid2020, preliminary"
42192,Edens Zero,TV,25,25,3/31/2021,10/2/2021,4,Completed,0,LOW,"2021, preliminary, seasonal"
39792,Eizouken ni wa Te wo Dasu na!,TV,12,12,0000-00-00,11/6/2020,8,Completed,0,LOW,"covid2020, r/animeawards2020-2021, c/animation, c/script, binge"
37033,Emiya-san Chi no Kyou no Gohan,ONA,13,13,1/9/2021,1/10/2021,8,Completed,0,LOW,"binge, 2021"
38671,Enen no Shouboutai,TV,24,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
32901,Eromanga-sensei,TV,12,12,0000-00-00,0000-00-00,3,Completed,0,LOW,covid2020
38853,Ex-Arm,TV,12,1,0000-00-00,0000-00-00,1,Dropped,0,LOW,"preliminary, seasonal"
6702,Fairy Tail,TV,175,175,0000-00-00,0000-00-00,7,Completed,2,LOW,"first, rewatch"
22043,Fairy Tail (2014),TV,102,102,0000-00-00,0000-00-00,6,Completed,0,LOW,
12049,Fairy Tail Movie 1: Houou no Miko,Movie,1,1,0000-00-00,0000-00-00,5,Completed,0,LOW,
17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,Special,1,1,0000-00-00,0000-00-00,5,Completed,0,LOW,
30778,Fairy Tail Movie 2: Dragon Cry,Movie,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,
9982,Fairy Tail OVA,OVA,5,5,0000-00-00,0000-00-00,5,Completed,0,LOW,
32930,Fairy Tail OVA (2016),OVA,3,3,0000-00-00,0000-00-00,5,Completed,0,LOW,
49785,Fairy Tail: 100 Years Quest,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
35972,Fairy Tail: Final Series,TV,51,16,0000-00-00,0000-00-00,4,Dropped,0,LOW,
34662,Fate/Apocrypha,TV,25,25,0000-00-00,0000-00-00,6,Completed,0,LOW,"binge, 2021"
33047,Fate/Extra: Last Encore,TV,10,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
